排名,中文电影名,中文导演名,中文演员名,时间
1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994
2,霸王别姬,陈凯歌,张国荣,1993
3,阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯,1994
4,这个杀手不太冷,吕克·贝松,让·雷诺,1994
5,美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997
6,泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997
7,千与千寻,宫崎骏,柊瑠美,2001
8,辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,1993
9,盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010
10,忠犬八公的故事,莱塞·霍尔斯道姆,理查·基尔,2009
11,机器人总动员,安德鲁·斯坦顿,本·贝尔特,2008
12,三傻大闹宝莱坞,拉库马·希拉尼,阿米尔·汗,2009
13,放牛班的春天,克里斯托夫·巴拉蒂,热拉尔·朱尼奥,2004
14,楚门的世界,彼得·威尔,金·凯瑞,1998
15,海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯,1998
16,星际穿越,克里斯托弗·诺兰,马修·麦康纳,2014
17,大话西游之大圣娶亲,刘镇伟,周星驰,1995
18,龙猫,宫崎骏,日高法子,1988
19,熔炉,黄东赫,孔侑,2011
20,无间道,刘伟强,刘德华,2002
21,教父,弗朗西斯·福特,马龙·白兰度,1972
22,疯狂动物城,拜伦·霍华德,金妮弗·,2016
23,当幸福来敲门,加布里尔·穆奇诺,威尔·史密斯,2006
24,怦然心动,罗伯·莱纳,玛德琳·卡罗尔,2010
25,触不可及,奥利维埃·纳卡什,弗朗索瓦·克鲁塞,2011
26,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,克里斯蒂安·贝尔,2008
27,活着,张艺谋,葛优,1994
28,乱世佳人,维克多·弗莱明,费雯丽,1939
29,控方证人,比利·怀尔德,泰隆·鲍华,1957
30,少年派的奇幻漂流,李安,苏拉·沙玛,2012
31,摔跤吧！爸爸,涅提·蒂瓦里,阿米尔·汗,2016
32,指环王3：王者无敌,彼得·杰克逊,维果·莫腾森,2003
33,鬼子来了,姜文,姜文,2000
34,飞屋环游记,彼特·道格特,爱德,2009
35,十二怒汉,西德尼·吕美特,亨利·方达,1957
36,天空之城,宫崎骏,田中真弓,1986
37,天堂电影院,朱塞佩·托纳多雷,安东内拉·阿蒂利,1988
38,大话西游之月光宝盒,刘镇伟,周星驰,1995
39,寻梦环游记,李·昂克里奇,美国,2017
40,末代皇帝,贝纳尔多·贝托鲁奇,尊龙,1987
41,哈尔的移动城堡,宫崎骏,倍赏千惠子,2004
42,罗马假日,威廉·惠勒,奥黛丽·赫本,1953
43,搏击俱乐部,大卫·芬奇,爱德华·诺顿,1999
44,闻香识女人,马丁·布莱斯,阿尔·帕西诺,1992
45,素媛,李濬益,薛景求,2013
46,辩护人,杨宇硕,宋康昊,2013
47,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃,2006
48,何以为家,娜丁·拉巴基,扎因·拉费阿,2018
49,死亡诗社,彼得·威尔,罗宾·威廉姆斯,1989
50,两杆大烟枪,盖·里奇,杰森·弗莱明,1998
51,指环王2：双塔奇兵,彼得·杰克逊,伊利亚·伍德,2002
52,教父2,弗朗西斯·福特,阿尔·帕西诺,1974
53,飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森,1975
54,狮子王,罗伯·明可夫,乔纳森·泰勒,1994
55,指环王1：魔戒再现,彼得·杰克逊,伊利亚·伍德,2001
56,V字仇杀队,詹姆斯·麦克特格,娜塔莉·波特曼,2005
57,美丽心灵,朗·霍华德,罗素·克劳,2001
58,饮食男女,李安,郎雄,1994
59,大闹天宫,万籁鸣,邱岳峰,1961
60,哈利·波特与魔法石,克里斯·哥伦布,丹尼尔·雷德克里夫,2002
61,海豚湾,路易·西霍尤斯,路易·西霍,2009
62,钢琴家,罗曼·波兰斯基,艾德里安·布洛迪,2002
63,本杰明·巴顿奇事,大卫·芬奇,凯特·布兰切特,2008
64,情书,岩井俊二,中山美穗,1995
65,黑客帝国,莉莉·沃卓斯基,基努·里维斯,1999
66,看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯,2016
67,让子弹飞,姜文,姜文,2010
68,西西里的美丽传说,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,2000
69,小鞋子,马基德·马基迪,法拉赫阿米尔·哈什米安,1997
70,拯救大兵瑞恩,史蒂文·斯皮尔伯格,汤姆·汉克斯,1998
71,猫鼠游戏,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥,2002
72,美国往事,赛尔乔·莱翁内,罗伯特·德尼罗,1984
73,音乐之声,罗伯特·怀斯,朱莉·安德鲁斯,1965
74,致命魔术,克里斯托弗·诺兰,休·杰克曼,2006
75,七宗罪,大卫·芬奇,摩根·弗里曼,1995
76,我不是药神,文牧野,徐峥,2018
77,低俗小说,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,1994
78,被嫌弃的松子的一生,中岛哲也,中谷美纪,2006
79,穿条纹睡衣的男孩,马克·赫尔曼,阿萨·巴特菲尔德,2008
80,沉默的羔羊,乔纳森·戴米,朱迪·福斯特,1991
81,蝴蝶效应,埃里克·布雷斯,阿什顿·库彻,2004
82,春光乍泄,王家卫,张国荣,1997
83,心灵捕手,格斯·范,马特·达蒙,1997
84,勇敢的心,梅尔·吉布森,梅尔·吉布森,1995
85,禁闭岛,马丁·斯科塞斯,莱昂纳多·迪卡普里奥,2010
86,天使爱美丽,让,奥黛丽·塔图,2001
87,剪刀手爱德华,蒂姆·波顿,约翰尼·德普,1990
88,布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯,2014
89,阿凡达,詹姆斯·卡梅隆,萨姆·沃辛顿,2009
90,摩登时代,查理·卓别林,查理·卓别林,1936
91,加勒比海盗,戈尔·维宾斯基,约翰尼·德普,2003
92,幽灵公主,宫崎骏,松田洋治,1997
93,入殓师,泷田洋二郎,本木雅弘,2008
94,致命ID,詹姆斯·曼高德,约翰·库萨克,2003
95,断背山,李安,希斯·莱杰,2005
96,阳光灿烂的日子,姜文,夏雨,1994
97,喜剧之王,周星驰,周星驰,1999
98,重庆森林,王家卫,林青霞,1994
99,第六感,奈特·沙马兰,布鲁斯·威利斯,1999
100,狩猎,托马斯·温特伯格,麦斯·米科尔森,2012
101,玛丽和马克思,亚当·艾略特,托妮·科莱特,2009
102,海蒂和爷爷,阿兰·葛斯彭纳,阿努克·斯特芬,2015
103,杀人回忆,奉俊昊,宋康昊,2003
104,消失的爱人,大卫·芬奇,本·阿弗莱克,2014
105,小森林 夏秋篇,森淳一,桥本爱,2014
106,告白,中岛哲也,松隆子,2010
107,请以你的名字呼唤我,卢卡·瓜达尼诺,艾米·汉莫,2017
108,大鱼,蒂姆·波顿,伊万·麦克格雷格,2003
109,一一,杨德昌,吴念真,2000
110,爱在黎明破晓前,理查德·林克莱特,伊桑·霍克,1995
111,阳光姐妹淘,姜炯哲,沈恩京,2011
112,红辣椒,今敏,林原惠美,2006
113,射雕英雄传之东成西就,刘镇伟,梁朝伟,1993
114,侧耳倾听,近藤喜文,本名阳子,1995
115,甜蜜蜜,陈可辛,黎明,1996
116,7号房的礼物,李焕庆,柳承龙,2013
117,倩女幽魂,程小东,张国荣,1987
118,超脱,托尼·凯耶,艾德里安·布洛迪,2011
119,驯龙高手,迪恩·德布洛斯,美国,2010
120,哈利·波特与死亡圣器(下),大卫·叶茨,丹尼尔·雷德克里夫,2011
121,小森林 冬春篇,森淳一,桥本爱,2015
122,蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,克里斯蒂安·贝尔,2012
123,菊次郎的夏天,北野武,北野武,1999
124,恐怖直播,金秉祐,河正宇,2013
125,爱在日落黄昏时,理查德·林克莱特,伊桑·霍克,2004
126,萤火之森,大森贵弘,佐仓绫音,2011
127,唐伯虎点秋香,李力持,周星驰,1993
128,幸福终点站,史蒂文·斯皮尔伯格,汤姆·汉克斯,2004
129,超能陆战队,唐·霍尔,斯科特,2014
130,风之谷,宫崎骏,岛本须美,1984
131,借东西的小人阿莉埃蒂,米林宏昌,志田未来,2010
132,无人知晓,是枝裕和,柳乐优弥,2004
133,上帝之城,费尔南多·梅里尔斯,亚历桑德雷·罗德里格斯,2002
134,神偷奶爸,皮艾尔·柯芬,美国,2010
135,怪兽电力公司,彼特·道格特,约,2001
136,玩具总动员3,李·昂克里奇,汤姆·汉克斯,2010
137,电锯惊魂,詹姆斯·温,雷·沃纳尔,2004
138,血战钢锯岭,梅尔·吉布森,安德鲁·加菲尔德,2016
139,岁月神偷,罗启锐,吴君如,2010
140,谍影重重3,保罗·格林格拉斯,马特·达蒙,2007
141,英雄本色,吴宇森,周润发,1986
142,七武士,黑泽明,三船敏郎,1954
